LISTA DE PRECIOS 2026,,,,,,,,,,,,,,,,,,,,
 Vigencia a partir de febrero ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,ALBERCA,,,,,,,,,,,,,,,,,,,
,,"HORARIOS ""A""",,,,,"HORARIOS ""B""",,,,,"HORARIOS ""C""",,,,,,,,
,,  12-1-4-5-6-7 PM,,,,,     2-3 PM,,,,,8-9-10-11  AM   7 PM,,,,,,,,
,HIDROTERAPIA,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $2,825 ",MES, 706.25 ,,," $2,543 ",MES, 635.63 ,,," $2,288 ",MES, 572.06 ,,,,,,
,2 VECES POR SEMANA," $5,360 ",MES, 670.00 ,95%,," $4,825 ",MES, 603.13 ,95%,," $4,345 ",MES, 543.13 ,95%,,"""Con base en la cartera vigente a enero de 2026 y la frecuencia de servicio por cliente , se ha implementado un ajuste para aplicar un porcentaje de descuento en el margen de todas las áreas, para mantener homolgados la aplicación de precios por frecuencia y horario de 2 a 3vxs",,,
,3 VECES POR SEMANA," $7,740 ",MES, 645.00 ,91%,," $6,965 ",MES, 580.42 ,91%,," $6,270 ",MES, 522.50 ,91%,,,,,
,,,,,,,,,,,,,,,,,,,,
,NATACION ESPECIAL,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $1,815 ",MES, 453.75 ,,," $1,630 ",MES, 407.50 ,,," $1,465 ",MES, 366.25 ,,,,,,
,2 VECES POR SEMANA," $3,520 ",MES, 440.00 ,97%,," $3,165 ",MES, 395.63 ,97%,," $2,850 ",MES, 356.25 ,97%,,,,,
,3 VECES POR SEMANA," $4,920 ",MES, 410.00 ,90%,," $4,425 ",MES, 368.75 ,90%,," $3,983 ",MES, 331.88 ,91%,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,," HORARIOS ""A"" ",,,,," HORARIOS ""B"" ",,,,," HORARIOS ""C"" ",,,,,,,,
,,   4-5-6-7 PM ,,,,,     8-9-10-11 AM    12 PM ,,,,, 1-2-3 PM ,,,,,,,,
INSCRIPCIÓN $400,NATACION INDIVIDUAL,,,,,,,,,,,,,,,,,,,
,1 VEZ POR SEMANA," $1,165 ",MES, 291.25 ,,," $1,045 ",MES, 261.25 ,,, $940 ,MES, 235.00 ,,,,,,
,2 VECES POR SEMANA," $2,265 ",MES, 283.13 ,97%,," $2,035 ",MES, 254.38 ,97%,," $1,830 ",MES, 228.75 ,97%,,"""Con base en la cartera vigente a enero de 2026 y la frecuencia de servicio por cliente , se ha implementado un ajuste para aplicar aumento mayor al 10% en el margen de todas las áreas, para mantener homolgados la aplicación de precios por frecuencia y horario de 2 a 3vxs, y considerandoq ue actuamente no se tienen clientes con servicio con mayor frecuencia",,,
,3 VECES POR SEMANA," $3,110 ",MES, 259.17 ,89%,," $2,795 ",MES, 232.92 ,89%,," $2,515 ",MES, 209.58 ,89%,,,,,
,,,,,,,,,,,,,,,,,,,,
,NATACION GRUPAL,,,,,,,,,,,,,,,,,,,
